id,timestamp_pre,original_score_pre,total_correct_pre,total_questions_pre,percentage_pre,total_trained_correct_pre,total_trained_questions_pre,trained_percentage_pre,total_untrained_correct_pre,total_untrained_questions_pre,untrained_percentage_pre,grade_pre,timestamp_mid,original_score_mid,total_correct_mid,total_questions_mid,percentage_mid,total_trained_correct_mid,total_trained_questions_mid,trained_percentage_mid,total_untrained_correct_mid,total_untrained_questions_mid,untrained_percentage_mid,grade_mid,overall_change,overall_trained_change,group
5f9c8992342a32392540e70b,3/14/2025 13:47:26,23 / 30,24,30,80.0,14,18,77.77777777777779,10,12,83.33333333333334,Second,4/17/25 09:58,26 / 30,25,29,86.2,14,17,82.35294117647058,11,12,91.66666666666666,Second,6.200000000000003,4.575163398692794,Experimental
6021bf2e609c0307f35d0512,3/14/2025 13:47:41,20 / 30,20,30,66.7,11,18,61.111111111111114,9,12,75.0,Second,4/17/25 09:56,19 / 30,20,29,69.0,11,17,64.70588235294117,9,12,75.0,Second,2.299999999999997,3.5947712418300597,Control
5ec454277791b000b352850c,3/14/2025 13:47:53,18 / 30,19,30,63.3,9,18,50.0,10,12,83.33333333333334,Second,4/17/25 14:34,20 / 30,21,29,72.4,13,17,76.47058823529412,8,12,66.66666666666666,Second,9.100000000000009,26.470588235294116,Control
62feb561aca92c1599166d7a,3/14/2025 13:48:34,23 / 30,25,30,83.3,14,18,77.77777777777779,11,12,91.66666666666666,Second,4/17/25 09:41,26 / 30,25,29,86.2,15,17,88.23529411764706,10,12,83.33333333333334,Second,2.9000000000000057,10.457516339869272,Experimental
62feb561aca92c1599166d19,3/14/2025 13:50:26,17 / 30,18,30,60.0,8,18,44.44444444444444,10,12,83.33333333333334,Second,4/17/25 09:58,25 / 30,23,29,79.3,14,17,82.35294117647058,9,12,75.0,Second,19.299999999999997,37.90849673202614,Experimental
61fb09b7b37b920de810f34d,3/14/2025 13:51:43,18 / 30,18,30,60.0,11,18,61.111111111111114,7,12,58.333333333333336,Second,4/17/25 09:42,22 / 30,23,29,79.3,14,17,82.35294117647058,9,12,75.0,Second,19.299999999999997,21.241830065359466,Experimental
62feb561aca92c1599166d44,3/14/2025 13:51:48,11 / 30,12,30,40.0,5,18,27.77777777777778,7,12,58.333333333333336,Second,4/17/25 09:43,18 / 30,18,29,62.1,11,17,64.70588235294117,7,12,58.333333333333336,Second,22.1,36.928104575163395,Experimental
62feb561aca92c1599166d3b,3/14/2025 13:53:46,19 / 30,20,30,66.7,10,18,55.55555555555556,10,12,83.33333333333334,Second,4/17/25 09:43,27 / 30,25,29,86.2,14,17,82.35294117647058,11,12,91.66666666666666,Second,19.5,26.797385620915023,Experimental
62feb561aca92c1599166d69,3/14/2025 13:54:53,18 / 30,19,30,63.3,11,18,61.111111111111114,8,12,66.66666666666666,Second,4/17/25 09:47,20 / 30,21,29,72.4,12,17,70.58823529411765,9,12,75.0,Second,9.100000000000009,9.477124183006538,Experimental
611b96d7e7dc95036253b0df,3/18/2025 12:20:28,22 / 30,23,30,76.7,13,18,72.22222222222221,10,12,83.33333333333334,Second,4/24/25 10:35,24 / 30,24,29,82.8,14,17,82.35294117647058,10,12,83.33333333333334,Second,6.099999999999994,10.130718954248366,Control
66c633704d1e3621f1df2b1d,4/1/2025 11:25:00,16 / 30,15,30,50.0,7,18,38.88888888888889,8,12,66.66666666666666,Second,4/24/25 10:37,19 / 30,20,29,69.0,11,17,64.70588235294117,9,12,75.0,Second,19.0,25.81699346405228,Control
5e736f9a4b7e1505b51a28f3,3/6/2025 10:12:19,14 / 30,14,30,46.7,10,18,55.55555555555556,4,12,33.33333333333333,Fourth,4/17/25 10:06,13 / 30,13,30,43.3,8,16,50.0,5,14,35.714285714285715,Fourth,-3.4000000000000057,-5.555555555555557,Experimental
66a9a8062c1ea33d50caa111,3/6/2025 10:12:20,16 / 30,16,30,53.3,8,18,44.44444444444444,8,12,66.66666666666666,Fourth,4/17/25 10:12,18 / 30,18,30,60.0,10,16,62.5,8,14,57.14285714285714,Fourth,6.700000000000003,18.055555555555557,Control
64411d4f0b79f10d5ad65baa,3/6/2025 10:12:49,15 / 30,15,30,50.0,9,18,50.0,6,12,50.0,Fourth,4/17/25 10:10,18 / 30,18,30,60.0,8,16,50.0,10,14,71.42857142857143,Fourth,10.0,0.0,Experimental
5d4c0d1fe88b9a016f49228f,3/6/2025 10:13:34,8 / 30,8,30,26.7,4,18,22.22222222222222,4,12,33.33333333333333,Fourth,4/17/25 10:14,13 / 30,13,30,43.3,8,16,50.0,5,14,35.714285714285715,Fourth,16.599999999999998,27.77777777777778,Control
632bd5da1a4fa806fd718ece,3/6/2025 10:15:10,8 / 30,8,30,26.7,5,18,27.77777777777778,3,12,25.0,Fourth,4/17/25 10:10,17 / 30,17,30,56.7,9,16,56.25,8,14,57.14285714285714,Fourth,30.000000000000004,28.47222222222222,Control
61004bda3391170a2edae7d5,3/6/2025 10:15:41,12 / 30,12,30,40.0,7,18,38.88888888888889,5,12,41.66666666666667,Fourth,4/17/25 10:09,17 / 30,17,30,56.7,9,16,56.25,8,14,57.14285714285714,Fourth,16.700000000000003,17.361111111111107,Experimental
66a493a26adb394eac8afaf9,3/6/2025 10:16:22,16 / 30,16,30,53.3,10,18,55.55555555555556,6,12,50.0,Fourth,4/17/25 08:27,14 / 30,14,30,46.7,6,16,37.5,8,14,57.14285714285714,Fourth,-6.599999999999994,-18.055555555555557,Control
