service_id,total_stars,avg_daily_stars,total_pns,avg_daily_pns,total_days_completed,missions_started,missions_completed,missions_aborted,races_started,popquizzes_started,popquizzes_completed,missing_missions,total_playtime,avg_daily_playtime,days_active,assemblesyllables_totalnumber,matchcollocations_totalnumber,matchsentenceblank_totalnumber,matchsynonyms_totalnumber,popquizcollocation_totalnumber,popquizsynonym_totalnumber,assemblesyllables_totaltime,matchcollocations_totaltime,matchsentenceblank_totaltime,matchsynonyms_totaltime,popquizcollocation_totaltime,popquizsynonym_totaltime,assemblesyllables_avgtime,matchcollocations_avgtime,matchsentenceblank_avgtime,matchsynonyms_avgtime,popquizcollocation_avgtime,popquizsynonym_avgtime,accuracy,total_learning_time,avg_response_time,unique_words_exposed,avg_interactions_per_word,words_with_9plus_exposures,trained_count,untrained_count,random_count,first_exposure_wrong,second_exposure_wrong,avg_exposure_attempts,total_exposures_wrong,avg_wic_attempts,total_wic_wrong,total_wrong,learned_trained_count,imputed_word_data,improved_learning_time
5d52e4b119ca9b0c7dde876b,98,9.8,117.0,11.7,5,32,13.0,16,29,5,5,3,196.806,,12.0,27.0,7.0,17.0,47.0,3.0,16.0,200.23,43.61,191.54,302.87,9.39,47.21,8.79,6.05,12.71,6.31,3.41,2.97,0.7,1012.77,7.29,27,5.15,2,21,0,6,0.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,False,794.85
5d55fa0ea28df409f1a97a4e,47,7.83,53.0,8.83,2,19,7.0,9,4,2,2,3,134.48,12.23,11.0,15.0,3.0,8.0,21.0,1.0,5.0,190.76,22.05,104.65,168.63,1.84,19.79,12.84,7.35,13.66,8.91,1.84,4.01,0.62,746.58,9.82,15,5.07,1,11,0,4,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,False,507.72
5d55fa0ea28df409f1a97a58,15,3.0,15.0,3.0,0,13,2.0,10,0,0,0,1,163.71,20.46,8.0,5.0,2.0,2.0,6.0,,,73.05,21.22,49.48,43.44,0.0,0.0,16.87,10.61,24.74,7.75,,,0.38,415.05,10.64,5,7.8,2,1,0,4,0.0,0.0,3.0,0.0,1.0,0.0,0.0,,True,187.19
5d55fa0ea28df409f1a97a5c,63,9.0,72.0,10.29,2,23,8.0,11,10,2,2,4,130.41,14.49,9.0,18.0,3.0,15.0,27.0,1.0,8.0,122.32,19.18,180.51,152.15,3.5,18.79,6.48,6.39,14.51,6.0,3.5,2.35,0.79,650.59,7.31,20,4.45,0,14,0,6,0.0,0.0,3.0,0.0,1.0,0.0,0.0,7.0,False,496.45
5d5641802e0317170451fa69,4,2.0,4.0,2.0,0,4,1.0,3,0,0,0,0,22.34,5.58,4.0,3.0,,,1.0,,,34.29,0.0,0.0,8.91,0.0,0.0,11.43,,,8.91,,,0.8,48.13,9.63,3,1.67,0,0,0,3,0.0,0.0,3.0,0.0,1.0,0.0,0.0,,True,43.2
5d56ea27477f4d0295a3de62,15,3.0,15.0,3.0,0,11,2.0,7,0,0,0,2,58.66,9.78,6.0,6.0,2.0,1.0,6.0,,,87.03,14.82,5.63,46.64,0.0,0.0,13.68,7.41,5.63,7.3,,,0.5,255.82,8.53,6,5.0,0,2,0,4,0.0,0.0,3.0,0.0,1.0,0.0,0.0,,True,154.12
5d56ea27477f4d0295a3de83,22,4.4,27.0,5.4,1,9,4.0,4,1,1,1,1,51.22,10.24,5.0,8.0,2.0,3.0,9.0,1.0,4.0,116.69,47.0,110.81,114.24,8.8,43.3,16.02,23.5,36.94,13.88,8.8,10.83,0.67,247993.6,7514.96,8,4.12,0,4,0,4,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,False,440.84
5d88564d26ca7909d8fb9d08,234,12.32,261.0,13.74,8,46,34.0,12,10,8,8,0,272.02,14.32,19.0,52.0,37.0,54.0,91.0,7.0,20.0,419.52,252.87,768.58,610.08,17.89,54.26,9.11,6.7,14.75,6.65,2.61,2.83,0.67,3040.1,8.74,52,6.69,11,30,1,21,0.0,2.0,4.21,7.0,2.07,5.0,12.0,10.0,False,2123.2
5daa2b2c72f0230b637168e4,74,9.25,80.0,10.0,2,15,12.0,0,5,2,2,3,101.94,12.74,8.0,21.0,4.0,15.0,34.0,1.0,5.0,150.22,52.98,123.16,207.54,2.19,12.47,8.95,13.25,9.67,5.91,2.19,2.44,0.67,6124.99,55.18,21,5.29,1,15,0,6,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,False,548.56
5dcaa7719cac4b08193c563e,2,2.0,2.0,2.0,0,1,0.0,1,0,0,0,0,10.84,5.42,2.0,2.0,,,,,,36.21,0.0,0.0,0.0,0.0,0.0,18.11,,,,,,0.67,44.69,14.9,2,1.5,0,0,0,2,0.0,0.0,3.0,0.0,1.0,0.0,0.0,,True,36.21
