service_id,total_playtime,avg_daily_playtime,days_active,total_pns,avg_daily_pns,total_days_completed,unique_words_exposed,avg_interactions_per_word,words_with_4plus_exposures,trained_count,untrained_count,random_count,trained_with_4plus_exposures
5f2be6d7e4b1e9033697f69e,136.16,11.35,12,98.0,9.8,3.0,24,5.46,18,18,0,6,12
5f2be6d8e4b1e9033697f6b8,370.77,26.48,14,184.0,13.14,4.0,38,6.32,34,28,0,10,25
5f2be6d8e4b1e9033697f6c7,145.51,20.79,7,75.0,12.5,4.0,16,5.31,15,11,0,5,10
5f3ab05ec0b8b509bbf6a567,271.44,22.62,12,112.0,11.2,5.0,25,7.76,23,19,0,6,17
5f3d736794738300247cd7e7,232.35,21.12,11,99.0,9.9,3.0,22,6.41,20,16,0,6,14
5f3d736794738300247cd7ec,46.06,7.68,6,32.0,6.4,1.0,11,5.27,7,7,0,4,3
5f3d736794738300247cd7f8,138.71,15.41,9,45.0,5.62,2.0,11,5.27,9,7,0,4,5
5f3d736794738300247cd801,161.86,16.19,10,117.0,11.7,3.0,25,5.4,20,19,0,6,14
5f3d736794738300247cd813,24.99,8.33,3,3.0,3.0,0.0,3,1.0,0,0,0,3,0
5f3d736794738300247cd814,207.37,17.28,12,58.0,7.25,1.0,15,6.13,13,11,0,4,9
5f5b7ce9c2c291284d29b4b1,42.73,8.55,5,38.0,12.67,2.0,11,3.27,5,7,0,4,3
5f8d913f9953ab0654c9012c,85.86,8.59,10,44.0,6.29,1.0,10,5.1,8,6,0,4,4
5f9c8992342a32392540e70b,145.64,12.14,12,140.0,11.67,6.0,32,3.97,23,0,0,32,0
5fab181c708c22005ba08d28,166.66,11.11,15,118.0,7.87,4.0,29,6.86,25,0,0,29,0
5fb27a996f1ede06f0f04bee,344.36,24.6,14,219.0,15.64,9.0,45,6.82,41,30,0,15,29
6021bf2e609c0307f35d0512,93.02,7.16,13,52.0,4.73,0.0,15,5.33,11,0,0,15,0
61004bda3391170a2edae7d5,118.18,10.74,11,91.0,10.11,3.0,21,5.81,18,15,0,6,12
61004bda3391170a2edae7db,367.85,28.3,13,118.0,9.83,3.0,30,4.47,22,23,0,7,16
6102ffcc0d043902e8dc8811,308.94,23.76,13,174.0,14.5,6.0,39,5.0,30,29,0,10,22
6109506f045ae600445815b4,190.35,14.64,13,113.0,10.27,4.0,24,4.71,19,18,0,6,13
61142149bd77291f1dfcea83,108.12,9.83,11,77.0,8.56,2.0,23,5.26,18,17,0,6,12
611cf4ca00a13103ab65c14b,141.09,9.41,15,89.0,6.85,1.0,21,5.86,16,0,0,21,0
611d71ca810b491ec5ebd5f9,351.08,23.41,15,166.0,11.86,4.0,36,6.75,33,26,0,10,25
611d71ca810b491ec5ebd5fa,113.82,10.35,11,87.0,9.67,2.0,23,4.04,16,17,0,6,12
611fe889523bf110b714d5ae,46.7,9.34,5,27.0,5.4,0.0,10,4.4,6,6,0,4,2
6171ce92c159270f01c43a9c,65.26,10.88,6,33.0,6.6,2.0,9,5.44,8,5,0,4,4
618db4b4bef73809d21f81e7,38.86,4.86,8,35.0,7.0,1.0,11,4.09,7,7,0,4,3
61e090285a8f9841235ae39f,37.8,7.56,5,12.0,2.4,0.0,5,5.8,4,1,0,4,0
61f0be54be9a7c1d4e9b7c66,24.73,6.18,4,9.0,3.0,0.0,3,3.67,2,0,0,3,0
61fb09b7b37b920de810f34d,225.22,11.85,19,116.0,7.25,1.0,26,7.0,24,0,0,26,0
62968c94929d68045116d328,224.84,12.49,18,186.0,10.94,6.0,42,4.33,34,0,0,42,0
6297de0b70cd210229cad86b,179.4,10.55,17,127.0,9.07,5.0,30,5.3,26,0,0,30,0
62a26a16be9a7c001be79026,281.16,16.54,17,223.0,13.94,10.0,41,5.98,36,0,0,41,0
62e14e176e5de41b053f3acb,985.44,37.9,26,388.0,16.87,16.0,83,7.1,68,30,0,53,30
62eaad610a343e622a7c150d,132.26,13.23,10,96.0,9.6,2.0,23,7.0,19,17,0,6,13
62eaad610a343e622a7c1515,51.31,10.26,5,35.0,8.75,1.0,10,5.5,6,6,0,4,2
62f6d1fa3d2cc21b04da2d62,142.69,15.85,9,94.0,11.75,4.0,19,6.05,18,13,0,6,13
62fc7b5560e8b80dda61b61f,114.85,11.48,10,56.0,7.0,2.0,16,4.5,13,11,0,5,9
62feb561aca92c1599166d13,326.66,18.15,18,326.0,18.11,13.0,65,5.86,55,0,0,65,0
62feb561aca92c1599166d19,124.01,8.27,15,79.0,6.08,0.0,21,5.43,20,0,0,21,0
62feb561aca92c1599166d1e,112.84,8.68,13,79.0,6.08,0.0,21,5.05,15,0,0,21,0
62feb561aca92c1599166d3b,208.19,13.01,16,130.0,8.67,2.0,28,6.39,24,0,0,28,0
62feb561aca92c1599166d44,167.24,9.29,18,137.0,7.61,3.0,34,6.09,28,0,0,34,0
62feb561aca92c1599166d4f,167.03,9.28,18,119.0,6.61,1.0,30,6.63,25,0,0,30,0
62feb561aca92c1599166d52,97.81,8.15,12,63.0,5.25,1.0,16,5.69,12,0,0,16,0
62feb561aca92c1599166d69,163.03,10.19,16,67.0,4.47,0.0,19,4.68,15,0,0,19,0
62feb561aca92c1599166d7a,214.87,11.94,18,209.0,11.61,4.0,45,5.29,41,0,0,45,0
632bd5da1a4fa806fd718ece,61.88,6.88,9,22.0,3.14,0.0,6,6.0,6,2,0,4,2
63b638da3a908b0ae3d23684,102.46,17.08,6,7.0,2.33,0.0,3,3.0,1,0,0,3,0
63d1e39521108a040c8a6c37,142.1,11.84,12,87.0,7.91,3.0,22,4.14,12,16,0,6,7
6421bcc00ca53e1c39e823bd,46.64,6.66,7,45.0,9.0,2.0,13,4.23,8,9,0,4,4
64411d4f0b79f10d5ad65baa,84.75,16.95,5,41.0,10.25,1.0,12,4.42,6,8,0,4,2
64c95026ea2c11082645290b,59.09,6.57,9,24.0,4.0,0.0,7,6.14,5,3,0,4,1
64c95026ea2c110826452910,190.58,14.66,13,100.0,7.69,3.0,24,4.67,18,18,0,6,12
64c95026ea2c110826452919,94.8,13.54,7,63.0,10.5,3.0,17,5.35,16,11,0,6,11
64ca4ce8c0848e2cb26b7b88,65.0,9.29,7,47.0,6.71,1.0,14,5.86,12,10,0,4,8
65df6c2e874f0c0b69e2ee30,258.58,19.89,13,114.0,8.77,3.0,29,3.86,17,22,0,7,11
65e73d65b65cb4036e2eca20,207.66,15.97,13,69.0,8.62,3.0,15,4.87,14,11,0,4,10
65fdc11d0c1f990241ce0871,71.68,10.24,7,35.0,5.83,1.0,13,4.85,9,9,0,4,5
66166c7f47ad6b29984d4af7,99.09,11.01,9,74.0,9.25,2.0,18,4.33,10,12,0,6,6
66a3b9086adb392850489cc4,349.69,29.14,12,152.0,12.67,5.0,32,5.03,27,24,0,8,21
66a3b9086adb392850489ccc,61.23,7.65,8,35.0,4.38,0.0,11,4.55,7,7,0,4,3
66a493a26adb394eac8afaee,109.59,13.7,8,28.0,4.0,0.0,10,3.8,4,6,0,4,1
66a493a26adb394eac8afaef,225.97,17.38,13,127.0,11.55,5.0,32,4.56,25,24,0,8,19
66a493a26adb394eac8afaf9,40.36,5.77,7,21.0,4.2,0.0,8,4.12,5,4,0,4,1
66a9a8062c1ea33d50caa111,66.49,11.08,6,50.0,8.33,1.0,15,4.0,7,11,0,4,3
66ab86c388d894234270be6f,88.58,14.76,6,20.0,6.67,1.0,7,5.43,6,3,0,4,3
66ac438b9c30f1160705f662,107.3,13.41,8,54.0,7.71,2.0,15,5.6,13,11,0,4,9
66bdd09a9c416f14eb7e27d4,175.85,9.26,19,144.0,7.58,2.0,33,5.67,25,0,0,33,0
671021e16dcdb304774b3af5,170.97,21.37,8,31.0,6.2,1.0,11,4.55,7,7,0,4,3
6732fabfc915d9284c55acda,56.76,9.46,6,37.0,6.17,1.0,14,4.29,9,10,0,4,5
67941580c5ae4514acce4ff3,123.43,13.71,9,69.0,8.62,3.0,19,6.47,15,13,0,6,10
67bdcb0e860c98544cfb9ced,66.27,8.28,8,39.0,6.5,1.0,12,4.0,8,8,0,4,4
