"service_id","total_playtime","avg_daily_playtime","days_active","total_pns","total_days_completed","avg_daily_pns","is_inactive","is_never_completed","is_playing_less","is_pnsing_less","is_finishing_less","flags_count"
"62968c94929d68045116d328",41,10.25,4,7,0,3.5,FALSE,TRUE,FALSE,TRUE,FALSE,2
"6297de0b70cd210229cad86b",24.87,6.2175,4,17,0,8.5,FALSE,TRUE,FALSE,FALSE,FALSE,1
"62a26a16be9a7c001be79026",47.86,11.965,4,20,1,10,FALSE,FALSE,FALSE,FALSE,TRUE,1
"62e14e176e5de41b053f3acb",45.77,9.154,5,25,2,12.5,FALSE,FALSE,FALSE,FALSE,FALSE,0
"62f6d1fa3d2cc21b04da2d62",7.88,7.88,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0
"62fc7b5560e8b80dda61b61f",4.5,4.5,1,6,0,6,FALSE,TRUE,FALSE,FALSE,FALSE,1
"62feb561aca92c1599166d13",63.58,15.895,4,40,2,20,FALSE,FALSE,FALSE,FALSE,FALSE,0
"62feb561aca92c1599166d19",17.83,5.94333333333333,3,11,0,5.5,FALSE,TRUE,FALSE,FALSE,FALSE,1
"62feb561aca92c1599166d1e",7.76,7.76,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0
"62feb561aca92c1599166d3b",27.44,9.14666666666667,3,4,0,2,FALSE,TRUE,FALSE,TRUE,FALSE,2
"62feb561aca92c1599166d44",50.63,12.6575,4,27,1,13.5,FALSE,FALSE,FALSE,FALSE,TRUE,1
"62feb561aca92c1599166d4f",34.75,8.6875,4,15,0,7.5,FALSE,TRUE,FALSE,FALSE,FALSE,1
"62feb561aca92c1599166d52",18.01,6.00333333333333,3,4,0,4,FALSE,TRUE,FALSE,FALSE,FALSE,1
"62feb561aca92c1599166d69",5.46,2.73,2,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,3
"62feb561aca92c1599166d7a",47.33,11.8325,4,24,1,12,FALSE,FALSE,FALSE,FALSE,TRUE,1
"632bd5da1a4fa806fd718ece",0.75,0.75,1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1
"63d1e39521108a040c8a6c37",34.32,11.44,3,10,0,10,FALSE,TRUE,FALSE,FALSE,FALSE,1
"6421bcc00ca53e1c39e823bd",18.24,6.08,3,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,2
"64c95026ea2c11082645290b",1.84,1.84,1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1
"64c95026ea2c110826452910",25.9,6.475,4,3,0,1.5,FALSE,TRUE,FALSE,TRUE,FALSE,2
"65df6c2e874f0c0b69e2ee30",28.62,7.155,4,11,0,5.5,FALSE,TRUE,FALSE,FALSE,FALSE,1
"65e73d65b65cb4036e2eca20",57.59,14.3975,4,4,0,2,FALSE,TRUE,FALSE,TRUE,FALSE,2
"66166c7f47ad6b29984d4af7",43.26,10.815,4,16,0,8,FALSE,TRUE,FALSE,FALSE,FALSE,1
"66a3b9086adb392850489cc4",49.17,12.2925,4,35,1,17.5,FALSE,FALSE,FALSE,FALSE,TRUE,1
"66a3b9086adb392850489ccc",5.28,5.28,1,2,0,2,FALSE,TRUE,FALSE,TRUE,FALSE,2
"66a493a26adb394eac8afaef",8.17,4.085,2,5,0,5,FALSE,TRUE,FALSE,FALSE,FALSE,1
"66a493a26adb394eac8afaf9",5.07,5.07,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0
"66a9a8062c1ea33d50caa111",5.99,5.99,1,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0
"66ac438b9c30f1160705f662",10.75,5.375,2,9,0,9,FALSE,TRUE,FALSE,FALSE,FALSE,1
"66bdd09a9c416f14eb7e27d4",47.21,11.8025,4,22,0,11,FALSE,TRUE,FALSE,FALSE,FALSE,1
"671021e16dcdb304774b3af5",2.57,2.57,1,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,1
"67941580c5ae4514acce4ff3",6,3,2,1,0,1,FALSE,TRUE,TRUE,TRUE,FALSE,3
"67bdcb0e860c98544cfb9ced",5.62,5.62,1,8,0,8,FALSE,TRUE,FALSE,FALSE,FALSE,1
